Unnamed: 0	description	S210421121685	S210421121686	S210421121687	S210421121691	S210421121692	S210421121693	S210421121703	S210421121704	S210421121705	S210421121706	S210421121707	S210421121708	S210421121709	S210421121710
EC:1.1.1.1	Alcohol dehydrogenase	94967.7541086511	30844.376362202987	71749.64104944163	95463.95207073983	39188.03166694757	79926.21473386139	19633.40370488441	5733.19019037387	166061.0898051085	156520.62269691	43676.60485987063	10047.30078834978	23258.754924348657	2746.064777380289
EC:1.1.1.10	L-xylulose reductase	0.2673019686345923	0.0081630419863701	0.5974715679064747	5.081506183140128	0.0034969868555663	0.0012141054979496	1.7838075580842678	0.0	5.983883820495866e-07	0.4508218364796476	5.355870086063094	0.0001746357986556	2.153386975738972	0.3930261424772883
EC:1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase	165987.98915350076	50534.46725242627	73267.2831695278	197495.66491674137	72315.81045395508	139578.09113041832	26801.97459394273	4867.051527413574	314730.9097861969	254530.6992416805	84023.43080374858	17450.639822085886	48246.591336050486	5509.755703143752
EC:1.1.1.101	Acylglycerone-phosphate reductase	1.0182624212586538e-28	9.369961633337349e-30	1.748155202727549e-28	1.2446814958992711e-27	5.735501682196963e-28	9.239533436882206e-28	1.5226715512414802e-28	0.0	8.662519095764661e-29	2.9332965634410606e-28	5.6340807166334445e-28	3.4328701306993176e-29	3.3867507204327797e-28	4.8373209501282797e-29
EC:1.1.1.102	3-dehydrosphinganine reductase	0.4253183036417383	0.0254432869806442	0.6514420021800599	3.952744492447316	1.6488645334232064	2.886814791573868	1.8938834920393144	0.0	25.327548320116477	2.421870696729992	4.4554642646639575	0.6905507750180835	1.3523696151258733	1.1976864600446453
EC:1.1.1.103	L-threonine 3-dehydrogenase	13241.796822185566	3357.185970776997	3072.145978065415	19795.65725761252	4240.704812491164	5406.466767249473	1670.344627671108	209.6175040526031	22828.954968868507	11470.02431623091	5695.056279593661	1123.14738378923	2222.593564940392	296.45563520769934
EC:1.1.1.107	Pyridoxal 4-dehydrogenase	266.6414192928044	73.00375915945261	192.47948612857303	282.3018325819674	676.9858660374667	272.16784551001484	115.09371322721796	32.192994674458035	86.16753604475684	1876.7159123369888	703.894125069339	127.4343904071553	234.9484776499297	19.343000104647587
EC:1.1.1.108	Carnitine 3-dehydrogenase	3888.235459829272	660.7434597984802	419.4063715323368	762.4439294413211	390.6496303374943	388.2217888164887	183.75348892977763	21.978750753017454	438.3524880603597	1297.8648737270714	802.9195308524017	196.0937728249945	176.52944691155628	28.374707112518905
EC:1.1.1.11	D-arabinitol 4-dehydrogenase	3.500961468142145	7.827930726043767e-05	0.0013654257276336	31.25936112904599	29.504502855871856	74.25734090962669	228.00141620678957	2.5554609536353357e-05	24.871050732781896	167.25248315834887	153.00435435624297	76.75050576048304	38.25267384853255	33.67041332892708
EC:1.1.1.122	D-threo-aldose 1-dehydrogenase	508.7425589027738	246.06164970116268	263.84581654312865	1440.5160806211477	757.7383758869885	816.4442105301068	765.684833056077	14.944445591425383	64.41637552525066	1936.656715829851	594.1581422675317	229.5738081130218	625.2967639350193	29.904630310875813
EC:1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase	15110.003462550256	3328.9118074104963	5973.750155750515	23503.88974216722	9048.464469363227	8962.916987442246	5330.518678539423	272.1505728094372	74595.02116769459	32420.59886190601	15160.45655693941	2107.231935578124	4665.106890650768	414.8025746627312
EC:1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase	6355.60798237258	852.0099220970833	1466.7806617459046	7349.1801448585475	1255.5003804351118	1474.5461308424517	562.783071861532	39.56508972061938	38594.57535470069	8347.23437299679	6031.131852353905	440.9186547261593	4215.445922309067	677.4747885025483
EC:1.1.1.132	GDP-mannose 6-dehydrogenase	740.1288289148774	163.86486328317804	53.1798350256952	393.1426762511716	499.3992130898859	1161.1173666123486	88.27232764126838	0.9868176875083274	1124.1484458034392	1505.4750717206623	92.41587351821396	461.9503792836766	1503.2801234866129	44.68156559221485
