sample-id,absolute-filepath,direction
210421121677,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121677-1-1-1_S89_L001_R1_001.fastq,forward
210421121677,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121677-1-1-1_S89_L001_R2_001.fastq,reverse
210421121678,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121678-1-1-1_S91_L001_R1_001.fastq,forward
210421121678,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121678-1-1-1_S91_L001_R2_001.fastq,reverse
210421121679,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121679-1-1-1_S93_L001_R1_001.fastq,forward
210421121679,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121679-1-1-1_S93_L001_R2_001.fastq,reverse
210421121680,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121680-1-1-1_S95_L001_R1_001.fastq,forward
210421121680,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121680-1-1-1_S95_L001_R2_001.fastq,reverse
210421121681,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121681-1-1-1_S82_L001_R1_001.fastq,forward
210421121681,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121681-1-1-1_S82_L001_R2_001.fastq,reverse
210421121685,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121685-1-1-1_S90_L001_R1_001.fastq,forward
210421121685,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121685-1-1-1_S90_L001_R2_001.fastq,reverse
210421121686,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121686-1-1-1_S92_L001_R1_001.fastq,forward
210421121686,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121686-1-1-1_S92_L001_R2_001.fastq,reverse
210421121687,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121687-1-1-1_S94_L001_R1_001.fastq,forward
210421121687,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121687-1-1-1_S94_L001_R2_001.fastq,reverse
210421121703,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121703-1-1-1_S110_L001_R1_001.fastq,forward
210421121703,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121703-1-1-1_S110_L001_R2_001.fastq,reverse
210421121704,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121704-1-1-1_S112_L001_R1_001.fastq,forward
210421121704,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121704-1-1-1_S112_L001_R2_001.fastq,reverse
210421121705,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121705-1-1-1_S113_L001_R1_001.fastq,forward
210421121705,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121705-1-1-1_S113_L001_R2_001.fastq,reverse
210421121706,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121706-1-1-1_S115_L001_R1_001.fastq,forward
210421121706,/home/lauro/nupeb/dados_brutos_rede_genoma/data/16s_karina/workspace/decompressed_reads/210421121706-1-1-1_S115_L001_R2_001.fastq,reverse
