group-id	NR	NR	NR	NR	NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR	STD-NR
subject_id	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121685	S210421121686	S210421121687	S210421121703	S210421121704	S210421121705	S210421121706
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculaceae	0.4844640645021221	0.4314919336918359	0.38336181533094904	0.522868076800772	0.48595644433011326	0.5335592380780835	0.5663885150291611	0.1656377051648848	0.00884117461319861	0.14665878178592548	0.39791448990679984	0.49116589375468606
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	0.07035975939414321	0.23984119224330772	0.34046704603512973	0.03752316413917124	0.29010486125684576	0.008955509524023957	0.014751009421265142	0.005184245057758083	0.0	0.0	0.040786559117315165	0.0003124045430562884
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_NK3B31_group	0.12846360474570787	0.04540538939010118	0.009174433149521679	0.006047348048729673	0.02869637622783799	0.0030058089791507184	0.09247196052041275	0.011422548239292705	0.0	0.046422235363690126	0.00017135453671584402	0.004807558801477326
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_UCG-001	0.08510176367668908	0.06248611172836763	0.07191557583552087	0.024995339758983298	0.06544181858799478	0.0027806547485027242	0.01604306864064603	0.0005592961473100006	0.0006315124723713293	0.0	0.040314289296610524	0.0009337424675793508
Bacteria|Verrucomicrobiota|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia	0.1358367353888986	0.0	0.0	0.0002686491880215358	4.0617659204300054e-05	0.007908542351510785	0.0004665769403319874	0.016692838858175404	0.0	0.0	0.0	0.0
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellaceae_UCG-003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10587202741672587	0.019285773791341533
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	0.008462923625094185	0.12221679036487267	0.018221137753034654	0.08726164237858701	0.03750363866530372	0.04274553068852164	0.05069537909376402	0.26596682943618644	0.1307862330281023	0.38823181549379066	0.009140301751159778	0.015099552914387271
Bacteria|Firmicutes|Clostridia|Lachnospirales|Lachnospiraceae|Lachnospiraceae_NK4A136_group	0.00032353229150259465	0.009555130883071864	0.028699282958369304	0.062332094257486544	0.011325557308132332	0.030969964425631557	0.03334230596680125	0.017596317249983867	0.004483738553836439	0.01212300413956239	0.0	0.0075740745883202355
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13038826430392444	0.0007810113576407209
