Unnamed: 0	description	S210421121677	S210421121678	S210421121679	S210421121680	S210421121681	S210421121685	S210421121686	S210421121687	S210421121703	S210421121704	S210421121705	S210421121706
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	96658.67476948028	29067.268826508007	110981.39091932432	71248.19284653015	60362.56734944981	64829.16155709061	21490.25224131107	24766.433254844047	6947.894871260373	1624.4806831671851	115520.1941951924	93232.79430394548
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	7.55964537760812	1.3258072488616577	60.5065314305223	90.6546534590811	25.12024107297264	29.106609817928923	0.3370526165010527	3.707162700812602	486.3863362756069	0.1742813207524058	276.7825174595877	1024.053162655623
AEROBACTINSYN-PWY	aerobactin biosynthesis	333.7732849501082	20.80710684682053	28.843513237858325	101.74231149885144	38.67345685513875	57.802804540812176	2.4866416269254645	21.45803216385941	83.52535403607939	6.722286893383729	48.8490784564246	100.83534538720208
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	3439.313964437253	305.0668241996062	418.5974369058656	1607.172834195724	610.5810074344171	1157.1272188352227	64.03004526516342	414.7171300902951	522.2366772481805	40.01845500478597	735.5839922206414	1556.3417441287493
ANAEROFRUCAT-PWY	homolactic fermentation	41780.07932437007	30713.52290666728	59983.12895320716	78319.90988021226	43556.03100598991	65507.89525763696	20802.72178461613	26070.905417668597	9288.49962367529	1718.418487184115	102635.90725658643	92586.74543235236
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	120589.08311006252	37428.0979108841	136763.43944721276	92412.23148171004	73647.63352465109	88398.45502266633	27786.05675950668	33467.872314855864	12821.443871392852	2502.341677360893	153647.3984415888	136501.7055445773
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	4088.973915340468	3372.090355041793	6605.7329592375545	18954.1081772705	5342.1928247490205	23227.534916283246	5572.001874622172	8128.2804422083345	4745.834897258099	451.5781310495639	14124.006458091488	41486.48521309399
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	286.46701089512305	19.848552481290945	22.983721254225404	107.12646684358349	42.52535281353142	50.78543714830494	2.246893257446989	20.90061836108825	82.86412846071373	5.579289042888703	83.71020934815536	97.20079456285042
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	1806.822117224439	2718.9236072497647	2971.056006601326	10787.606738420203	2642.2219709910287	11177.066822634131	2487.943596651196	3822.900622405345	1128.1179589515948	150.79355431865633	27020.17279859552	15661.541156209012
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	53573.79405083438	12182.036636789398	41736.40469599108	50062.868335604006	18350.66862546269	55926.77072706206	14458.762644938724	18746.5808327569	7269.349363367612	1182.3781816531248	83263.68026608849	86788.63423302183
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	37756.38012041069	9075.278574432688	32191.2497086466	47116.9787061692	13617.43864758151	53736.88564028737	12614.40181506834	17939.45610994835	6864.203160706767	1132.756064301797	71951.91353928526	82929.118712032
ARO-PWY	chorismate biosynthesis I	63070.57567451115	16345.6191717021	67510.34134728742	64537.86493342563	30793.528804538728	68798.97210365043	19744.144358884103	17888.50437704544	7656.854310832699	1024.717273301234	108014.96886218728	105301.12045968164
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	108296.91677915923	33652.21508595332	138097.481576127	70498.45378940422	71373.5773485465	61029.61290466375	20738.16033098877	20878.165579079312	5617.53904338432	1401.6242495849065	120911.099948313	87214.86835640918
AST-PWY	L-arginine degradation II (AST pathway)	447.9543881943272	27.812406240178674	62.78649179794059	178.74408808537643	64.90266637183167	79.32030446985861	3.305691584430654	28.57943400826025	199.35369972320123	8.94922128257805	100.38980769199314	229.192742552939
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	86361.23977582448	23568.0004263472	90746.5831621257	45807.51956573606	54172.93438328822	39342.588032522406	14521.029775884725	4892.925360754951	1513.475412782603	319.7362244691	88591.44611818991	63857.79606503098
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	100875.8578571585	28829.65954509168	118525.79578664794	76578.83918984543	63521.37454646249	79691.17253889203	23454.516605845783	22863.161469309904	9452.972307183794	1343.1071690133992	135648.50369376113	122502.57775933995
