Unnamed: 0	description	S210421121673	S210421121674	S210421121675	S210421121676	S210421121682	S210421121683	S210421121684	S210421121694	S210421121695	S210421121696	S210421121697
K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	77283.46391940472	205518.8538412	75974.41120886215	158569.83730445057	24045.139913145787	36638.96730407406	98587.84605326498	18865.171331148624	51127.416273426985	24206.348500032724	10042.468985391595
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	1473.8559337611605	133.0874501109082	186.0410692800396	168.92990582595547	406.7002795056384	1134.5413358844237	605.028076493136	1377.2867498771675	956.7796509449432	1064.7028133124866	689.7884720329187
K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]	49537.15741250231	48593.53489302034	19713.724001456638	52146.22534551448	38909.93923905552	46852.44564292624	47606.51772458515	21499.318030498365	57657.26880740581	17737.358624939083	11258.410703002448
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	2931.534415702292	1633.1188323395263	247.01569310052903	3137.443121975205	3358.9339896633496	9411.663480111902	5484.573024226492	14496.766043569329	9039.70002176069	7916.073283115813	5456.285144866639
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]	24808.28349255523	12909.561937826138	6223.985519293564	12842.011234689817	16590.461373581922	22965.3979961675	10036.443249318649	9488.61721619132	29914.917715126878	9966.1951955346	6904.959389088182
K00007	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	9.330576381021512	38.251112566649056	19.42122597930756	157.11231773599573	4.00028903716045	13.331311545404583	14.25034385534981	383.2537332990573	61.000966468021154	171.50092683416085	76.00122997831518
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	86193.22507199232	100884.90216881248	36576.20938269868	68766.27387573839	58218.30665819195	59292.265840833934	46280.52591795223	52732.47925500938	64152.56519253836	44468.01474770239	27765.18181977687
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	3791.673562086624	19554.983425443326	3223.3702077724643	10411.410008035771	5005.21241339613	16398.953378915987	17704.664768032264	7853.209792558975	15592.047268247112	4847.516107762787	4629.873274166144
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	40357.34174013488	51465.449946856985	17799.515665323004	50401.57533425772	10252.80636325268	18177.312155433992	23117.89027879417	23900.79352086259	20199.12368753062	13210.115096770616	7524.049708637973
K00011	AKR1B; aldehyde reductase [EC:1.1.1.21]	0.0	0.0	0.0	0.0	0.0	1.0338451899112782e-21	0.0	0.0	9.814857234239836	0.0	0.0
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	164612.79935248036	423690.91926476016	146050.3698151832	259252.96804188547	40940.96067909071	48849.527722352286	154410.5843994	16740.1948527099	67130.49239229501	28467.113194124096	10659.289382576802
