Unnamed: 0	description	S210421121673	S210421121674	S210421121675	S210421121676	S210421121682	S210421121683	S210421121684	S210421121694	S210421121695	S210421121696	S210421121697
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	118664.87996714456	222546.5943789016	95919.50206204897	196102.4125548063	52122.10419914928	47276.89725592843	108844.64697494548	14883.407321290417	75846.2850878547	30425.874253912883	13165.159158964954
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	35.971993424641795	140.9664612568707	29.087941809460297	85.7990899646446	20.409616316128087	64.9797642610524	78.40029643160017	1282.7986885357798	303.71417527418714	522.9593373874843	316.17533890455115
AEROBACTINSYN-PWY	aerobactin biosynthesis	114.55596468169662	81.22605664757218	280.5720619551119	22.42649311996943	8.214692339079814	45.6415341366151	19.603328992896213	86.69939848632741	60.38267532346664	60.37323743942666	62.93549185933343
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	2637.611221737744	1304.0661465719757	3131.6928465918013	543.3970891214799	235.887521810464	779.0450201538372	462.86327249414376	1170.2643833531183	1097.2024522402448	1180.291857887311	845.1255022679264
ANAEROFRUCAT-PWY	homolactic fermentation	107061.29488505729	199276.6604621786	56905.35029688757	144933.01019857835	46920.19730840771	50303.42076966888	110686.46638854814	20737.185894433303	77455.75247131441	29396.286719429638	15607.061624324742
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	160037.80845954447	281212.9885353519	120392.0822373262	236001.4902368284	67851.1833276564	68117.87954165501	138763.74390592962	29983.114291797985	97864.7354921847	41765.44089534169	20474.946123053105
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	17251.098888361994	17691.192320370035	4974.569152472308	33685.67299179103	14837.889191872157	18245.20032904471	27352.19902076588	12023.38901500194	22733.935155521667	11304.399220747084	6409.282100735383
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	96.27239540835966	74.19266492796741	263.130787951022	20.271472639529133	8.315984254998025	41.01180007651949	16.474056915092618	252.7385839591332	70.8724052115809	59.16109773047464	56.31160253104835
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	16205.309943464606	10278.016611994966	3784.786114173208	7111.761606018453	7451.056840416024	6945.417462931905	6535.638260022343	2998.548314966541	17273.45440188843	4649.296530522484	4286.203447624796
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	82629.57010090348	96093.9541340654	56297.35569589874	71883.51668352683	44558.62488937245	45802.43493890112	57787.28228808194	19156.024034826565	59353.30830162754	23282.1806679131	11504.290579700566
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	74533.86241630682	68663.88841071405	41973.4383418905	57061.86971705904	43717.91249233757	44781.43232697373	50845.64120662768	18329.6050004533	56693.89237197813	22113.53028341993	10819.5427699764
ARO-PWY	chorismate biosynthesis I	111073.64057795686	148753.31833198675	66392.52820361563	131530.58181659135	57879.75466411384	53137.58003801346	88136.34477596288	20525.490453473863	74581.94397966405	32098.20863508769	13779.070838347614
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	132027.52109711478	316752.67421253206	104551.27092116678	209589.50995607552	44939.27360233041	36696.48199500006	112303.28527172904	11710.60602496298	68938.69235915627	25968.617239115985	10803.47603752166
AST-PWY	L-arginine degradation II (AST pathway)	172.36225711008484	179.909863709371	394.5091019465016	145.9546181235146	15.871398923610592	75.3316596673699	47.19662627419794	456.1646394382911	111.68189109527007	137.22025517754156	144.51399260042865
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	89766.92157805036	95133.73717004168	83719.37123180622	150711.26774847193	23947.0613315752	17446.13404795383	67948.03670853518	4425.118816138197	34231.15996205509	18997.36049244188	6227.737904923477
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	136744.3322908368	234281.91211499443	99761.51532357362	192544.16684396085	61989.349693576034	59080.43612713458	99799.01699990402	24484.879488198403	80667.84235261311	35269.390043045045	15781.908147847496
CALVIN-PWY	Calvin-Benson-Bassham cycle	153667.29539263528	231829.891743822	108230.62229837728	218834.2026423228	66951.53398902783	59359.802904160926	128868.76970807854	29649.90095685195	91713.65157898946	40685.1758052023	19830.038549483877
